CA,CA_count,CO,CO_count,PA,PA_count,TN,TN_count,NY,NY_count,TX,TX_count,FL,FL_count,NC,NC_count,LA,LA_count,NV,NV_count,MA,MA_count,WA,WA_count,MI,MI_count,OH,OH_count,ID,ID_count,IL,IL_count,IN,IN_count,SC,SC_count,AL,AL_count,MN,MN_count,NH,NH_count,MO,MO_count,GA,GA_count,OR,OR_count,AZ,AZ_count,IA,IA_count,ME,ME_count,MD,MD_count,NJ,NJ_count,KS,KS_count,VA,VA_count,OK,OK_count,DE,DE_count,UT,UT_count,CT,CT_count,NE,NE_count,MS,MS_count,AR,AR_count,VT,VT_count,DC,DC_count,KY,KY_count,WI,WI_count,AK,AK_count,HI,HI_count,WY,WY_count,SD,SD_count,RI,RI_count,WV,WV_count,MT,MT_count,NM,NM_count,ND,ND_count
trump,49187,trump,8135,trump,12131,trump,5702,trump,18750,trump,28017,trump,27284,trump,5289,trump,3372,trump,3947,trump,8248,trump,18156,trump,9528,trump,10734,us,1295,trump,10949,trump,4510,trump,2098,trump,3246,trump,5836,trump,680,trump,3822,trump,7948,trump,8450,trump,9700,trump,2089,trump,2241,trump,5569,trump,3525,trump,3062,trump,8832,trump,3084,trump,1163,trump,2127,trump,3541,trump,1632,trump,1128,trump,2379,trump,768,trump,1101,trump,3371,trump,4693,trump,974,trump,1627,trump,550,trump,226,trump,688,trump,461,trump,1135,trump,1346,trump,234
us,44069,us,7368,us,10977,us,5280,us,16461,us,26493,us,25648,us,4856,us,3184,us,3695,us,7361,us,15337,us,8613,us,9748,trump,1289,us,9324,us,4074,us,1988,us,3090,us,5264,us,583,us,3618,us,7434,us,7490,us,8922,us,1928,us,2048,us,5050,us,3300,us,2799,us,8001,us,2868,us,1040,us,1919,us,3217,us,1520,us,1110,us,2199,us,683,us,933,us,3164,us,4127,us,854,us,1491,us,494,us,218,us,623,us,423,us,995,us,1183,us,212
biden,8964,biden,1477,biden,2506,biden,1227,biden,3591,biden,6558,biden,6312,biden,1096,biden,750,biden,805,biden,1560,biden,3460,biden,1887,biden,2200,biden,321,biden,2168,biden,957,biden,488,biden,774,biden,1146,biden,140,biden,872,biden,1747,biden,1484,biden,2087,biden,416,biden,545,biden,1155,biden,820,biden,628,biden,1953,biden,743,biden,238,biden,404,biden,685,biden,321,biden,287,biden,468,covid,165,biden,210,biden,655,biden,948,biden,154,biden,283,president,100,biden,57,president,133,biden,94,amp,232,biden,237,president,44
amp,7579,amp,1257,president,1944,president,1094,president,2890,president,5195,amp,4900,president,886,president,626,amp,749,president,1349,amp,2878,amp,1599,amp,1783,amp,252,amp,1740,president,775,president,380,president,652,amp,961,president,112,president,619,president,1374,amp,1300,president,1832,amp,360,amp,410,president,888,president,574,president,508,president,1455,president,625,amp,224,president,328,president,588,president,277,president,261,president,406,biden,134,president,176,president,576,president,761,president,143,president,283,biden,100,president,42,biden,120,president,76,biden,213,president,223,biden,38
president,7437,president,1210,amp,1790,amp,1035,amp,2800,amp,5118,president,4845,amp,856,amp,573,president,614,amp,1311,president,2822,president,1446,president,1762,president,248,president,1610,amp,686,amp,335,amp,599,president,827,amp,90,amp,548,amp,1361,president,1212,amp,1627,president,323,president,398,amp,886,amp,572,amp,459,amp,1399,amp,525,president,179,amp,285,amp,506,amp,263,amp,194,amp,358,president,114,amp,135,amp,558,amp,705,amp,138,amp,278,amp,93,donald,35,amp,91,amp,58,president,189,donald,168,amp,31
people,5821,people,944,people,1372,people,637,people,2218,people,3150,people,2855,people,627,people,447,people,401,people,991,people,2075,people,1115,people,1092,people,142,people,1259,people,492,election,240,people,356,people,661,new,75,people,436,people,971,people,960,people,997,people,211,joe,251,people,632,people,386,people,357,people,996,people,345,people,138,people,257,people,398,people,178,people,127,people,273,americans,101,election,120,people,397,people,523,people,110,people,198,covid,69,amp,27,donald,78,donald,53,covid,111,amp,164,donald,27
donald,4873,donald,789,election,1261,covid,549,covid,1968,donald,2628,election,2815,election,539,election,334,vote,380,election,879,election,1825,election,1024,donald,1016,covid,135,covid,1075,donald,433,covid,216,election,306,donald,606,election,73,donald,399,donald,777,election,889,election,954,covid,205,000,244,covid,558,election,367,covid,321,covid,858,election,307,donald,133,donald,234,donald,373,election,170,americans,124,donald,259,amp,94,covid,110,covid,353,election,475,covid,102,covid,158,people,62,000,27,election,73,people,50,people,107,people,160,000,27
covid,4824,election,770,donald,1237,election,541,election,1937,election,2613,donald,2649,covid,515,donald,324,covid,377,covid,848,new,1788,donald,924,new,982,joe,124,election,1061,covid,414,new,205,covid,284,election,605,covid,73,covid,395,covid,752,donald,837,donald,913,election,200,people,240,donald,535,covid,358,donald,307,election,849,joe,292,covid,123,covid,203,election,352,donald,166,donald,118,covid,237,realdonaldtrump,84,new,109,donald,333,covid,458,donald,88,donald,157,donald,57,covid,26,people,70,election,43,donald,104,covid,152,realdonaldtrump,26
election,4795,covid,770,covid,1170,donald,485,new,1909,covid,2544,covid,2628,donald,505,covid,307,election,332,donald,793,covid,1756,covid,906,covid,981,donald,122,donald,1041,new,394,people,205,joe,283,covid,555,donald,68,election,360,election,678,covid,804,covid,889,donald,199,covid,223,election,529,donald,341,new,292,donald,847,covid,286,election,108,election,202,covid,323,covid,152,joe,109,election,215,people,82,people,104,election,324,donald,448,new,86,election,153,election,55,people,24,covid,65,joe,41,new,101,election,134,election,24
new,4379,new,710,new,1071,new,457,donald,1816,joe,2433,new,2244,new,460,new,300,donald,325,new,695,donald,1617,vote,843,election,933,election,121,new,924,election,383,donald,202,new,278,new,465,people,68,joe,355,new,674,new,691,new,839,new,181,new,195,new,490,joe,326,election,267,new,766,donald,275,get,94,new,185,000,307,get,136,covid,103,new,202,election,75,donald,90,new,288,new,390,one,72,new,145,new,49,even,23,one,62,like,38,election,82,new,124,covid,23
