ID,ID_count,AZ,AZ_count,MS,MS_count,CT,CT_count,FL,FL_count,CA,CA_count,OH,OH_count,TN,TN_count,OR,OR_count,CO,CO_count,IA,IA_count,OK,OK_count,PA,PA_count,NY,NY_count,MI,MI_count,TX,TX_count,MT,MT_count,IL,IL_count,MO,MO_count,ME,ME_count,SC,SC_count,WA,WA_count,GA,GA_count,KY,KY_count,VA,VA_count,WI,WI_count,MN,MN_count,DC,DC_count,UT,UT_count,NC,NC_count,NE,NE_count,DE,DE_count,AR,AR_count,MA,MA_count,IN,IN_count,KS,KS_count,HI,HI_count,NV,NV_count,MD,MD_count,AL,AL_count,NJ,NJ_count,AK,AK_count,LA,LA_count,WV,WV_count,NM,NM_count,RI,RI_count,WY,WY_count,VT,VT_count,SD,SD_count,NH,NH_count,ND,ND_count
trump,1159,trump,8583,trump,1072,trump,2787,trump,23797,trump,41586,trump,9196,trump,4965,trump,6963,trump,6914,trump,1923,trump,2708,trump,10111,trump,15946,trump,8137,trump,25856,trump,1001,trump,8705,trump,3456,trump,1967,trump,1958,trump,15915,trump,6671,trump,2692,trump,7729,trump,3723,trump,4895,trump,871,trump,1893,trump,4539,trump,1571,trump,986,trump,2013,trump,7182,trump,3984,trump,2632,trump,1432,trump,3704,trump,4550,trump,2949,trump,2830,trump,784,trump,2981,trump,413,trump,1168,trump,638,us,440,trump,671,trump,216,trump,522,trump,193
us,1093,us,7422,us,992,us,2302,us,21409,us,34481,us,7801,us,4595,us,5746,us,5835,us,1661,us,2388,us,8541,us,12546,us,6718,us,23260,us,889,us,7086,us,3079,us,1752,us,1709,us,12181,us,5988,us,2411,us,6411,us,3256,us,4040,us,638,us,1633,us,3894,us,1302,us,848,us,1718,us,5756,us,3526,us,2224,us,1186,us,3346,us,3879,us,2822,us,2411,us,673,us,2717,us,359,us,924,us,506,trump,438,us,536,us,171,us,447,us,171
biden,285,president,1949,president,286,president,606,president,5558,president,8640,president,1897,president,1199,president,1311,president,1368,president,401,president,620,president,2121,president,3157,amp,1971,president,5973,biden,193,president,1741,president,808,president,432,president,474,president,3113,president,1604,president,643,president,1607,president,768,president,873,president,150,president,345,president,1011,president,382,amp,181,president,498,president,1374,president,871,president,547,president,363,amp,793,president,916,president,769,president,574,president,155,president,784,president,97,president,226,president,111,biden,98,president,136,president,44,amp,109,amp,41
president,280,biden,1677,biden,258,biden,478,biden,4867,biden,6847,biden,1549,biden,1070,biden,1144,biden,1185,biden,327,biden,610,biden,1815,biden,2383,president,1607,biden,5491,president,173,biden,1432,biden,689,biden,396,biden,401,biden,2325,biden,1384,biden,534,biden,1321,biden,717,biden,814,biden,117,amp,311,biden,889,biden,296,biden,177,biden,356,biden,1091,biden,760,biden,516,amp,275,president,726,biden,766,biden,769,biden,542,biden,141,biden,675,biden,74,biden,165,biden,102,president,84,amp,82,amp,30,biden,98,biden,38
amp,230,amp,1517,amp,223,amp,445,amp,4614,amp,6504,amp,1447,amp,938,amp,1056,amp,1050,amp,308,amp,491,amp,1628,amp,2244,biden,1386,amp,4834,amp,160,amp,1305,amp,647,amp,334,amp,399,amp,2295,amp,1180,amp,470,amp,1165,amp,498,amp,710,amp,105,biden,310,amp,774,amp,265,president,172,amp,333,amp,1035,amp,643,amp,476,biden,247,biden,685,amp,685,amp,644,amp,471,amp,140,amp,535,amp,70,amp,131,amp,68,amp,78,biden,79,biden,29,president,94,president,36
knew,134,vote,985,vote,110,vote,284,vote,2432,vote,4288,vote,844,vote,450,donald,592,like,624,donald,191,people,266,vote,919,new,1437,vote,1068,vote,3109,new,86,vote,759,vote,325,vote,217,vote,203,new,1482,vote,702,vote,277,donald,651,vote,370,vote,451,new,78,vote,190,vote,426,vote,152,vote,121,covid,186,vote,724,vote,346,donald,254,vote,129,vote,464,new,404,vote,293,new,264,vote,75,vote,330,good,42,covid,108,donald,60,help,65,donald,61,vote,25,donald,51,covid,29
vote,125,donald,692,like,105,new,256,donald,2060,covid,3618,people,800,like,445,vote,587,covid,619,vote,186,vote,253,like,863,donald,1384,donald,1012,people,2488,vote,85,covid,750,donald,296,realdonaldtrump,198,donald,181,donald,1307,people,600,covid,241,vote,644,people,340,covid,440,covid,72,like,165,donald,382,donald,139,2020,90,vote,185,new,632,donald,332,covid,224,people,122,senate,429,vote,396,election,270,covid,259,people,73,election,278,election,39,donald,107,like,57,people,58,people,61,new,18,election,47,donald,29
people,110,election,685,people,102,covid,247,people,2034,people,3553,donald,799,people,434,covid,586,donald,607,new,163,election,244,donald,858,covid,1353,even,850,election,2196,election,84,donald,735,election,295,donald,183,help,152,covid,1293,election,587,people,238,like,618,covid,318,donald,418,one,68,covid,162,new,373,like,133,donald,85,donald,175,donald,590,new,323,vote,222,donald,120,like,359,donald,380,joe,262,people,255,like,70,people,263,new,38,new,100,covid,53,like,50,new,60,election,18,vote,47,get,23
realdonaldtrump,99,covid,685,knew,98,donald,237,election,1987,donald,3465,covid,776,covid,410,people,581,vote,605,like,159,donald,233,covid,843,vote,1348,coronavirus,836,donald,2159,donald,83,like,729,like,287,election,169,new,151,vote,1286,donald,567,donald,225,covid,618,donald,311,new,398,election,66,people,157,people,370,people,117,people,84,election,173,covid,590,election,322,new,220,joe,117,covid,331,election,365,donald,260,vote,248,donald,66,like,259,donald,33,vote,96,people,52,even,49,covid,58,health,18,covid,46,vote,21
election,95,people,674,court,93,people,226,covid,1975,new,3373,election,762,donald,399,like,560,people,572,people,146,like,219,new,832,people,1296,thousands,782,like,2153,covid,82,people,701,covid,286,people,165,people,151,election,1251,covid,548,election,219,new,609,new,298,people,380,said,64,donald,155,like,366,covid,116,covid,79,people,167,election,586,people,308,people,216,get,114,republicans,326,people,364,people,238,donald,244,get,62,donald,244,people,32,even,86,vote,48,please,40,taxes,58,care,18,like,44,people,20
