CA,CA_count,MN,MN_count,ID,ID_count,AZ,AZ_count,CO,CO_count,MS,MS_count,PA,PA_count,CT,CT_count,TN,TN_count,NY,NY_count,SC,SC_count,FL,FL_count,TX,TX_count,NC,NC_count,LA,LA_count,NV,NV_count,MA,MA_count,WA,WA_count,OH,OH_count,MI,MI_count,IL,IL_count,VA,VA_count,OR,OR_count,IA,IA_count,OK,OK_count,NJ,NJ_count,MT,MT_count,IN,IN_count,AL,AL_count,NH,NH_count,GA,GA_count,MO,MO_count,ME,ME_count,WI,WI_count,KY,KY_count,MD,MD_count,DC,DC_count,UT,UT_count,NE,NE_count,DE,DE_count,KS,KS_count,AR,AR_count,AK,AK_count,HI,HI_count,VT,VT_count,WY,WY_count,SD,SD_count,WV,WV_count,NM,NM_count,ND,ND_count,RI,RI_count
trump,109937,trump,13042,us,3242,trump,22332,trump,18231,us,2874,trump,27078,trump,7728,us,13400,trump,42188,us,5101,us,63929,us,68119,us,12149,us,8178,us,9458,trump,18600,trump,41556,trump,24087,trump,21400,trump,23969,trump,19985,trump,18492,trump,4899,us,7077,trump,7791,trump,2611,us,10418,us,8095,trump,1449,us,18582,us,9106,us,5302,trump,10337,us,7554,trump,12371,trump,2338,trump,4916,trump,3910,trump,2640,us,6882,us,5287,trump,2106,trump,3686,trump,1720,us,1241,trump,575,us,1092,trump,3017,us,543,us,1606
us,106368,us,12724,trump,3006,us,22238,us,17784,trump,2673,us,26540,us,7448,trump,12882,us,40113,trump,4910,trump,63000,trump,66088,trump,11982,trump,7739,trump,9232,us,18036,us,39011,us,23435,us,20791,us,22608,us,19361,us,17732,us,4884,trump,7068,us,7788,us,2608,trump,10246,trump,7638,us,1449,trump,17977,trump,8847,trump,5130,us,10216,trump,7386,us,12313,us,2231,us,4800,us,3801,us,2553,trump,6869,trump,5271,us,2069,us,3539,us,1615,trump,1229,us,556,trump,1067,us,2817,trump,537,trump,1586
biden,28204,biden,3448,biden,995,biden,6629,biden,4729,biden,896,biden,7633,biden,2076,biden,3898,biden,10787,biden,1485,biden,19134,biden,20765,biden,3422,biden,2394,biden,2521,biden,4735,biden,10635,biden,6541,biden,5778,biden,6448,biden,5602,biden,4598,biden,1377,biden,2273,biden,2366,biden,714,biden,2919,biden,2624,biden,407,biden,5484,biden,2596,biden,1722,biden,3004,biden,2053,biden,3404,election,642,biden,1265,biden,1065,biden,726,biden,1959,biden,1419,biden,538,biden,953,biden,394,biden,356,biden,162,biden,296,biden,722,biden,153,biden,408
election,23446,election,3252,president,688,president,4933,election,3962,president,693,election,5992,election,1634,president,2972,election,9757,election,1214,president,13887,president,14775,election,2804,election,1853,amp,2012,election,4512,election,10468,election,4854,election,4755,election,5204,election,4177,election,4020,election,1081,election,1625,election,1776,election,576,election,2243,president,1830,election,366,election,4154,election,1986,president,1101,election,2468,president,1632,election,2809,biden,569,election,1009,president,870,amp,535,election,1539,president,1193,election,457,president,820,election,337,election,257,election,127,election,245,election,651,election,129,election,388
president,21522,president,2381,election,679,election,4639,president,3500,amp,567,president,5483,president,1601,election,2695,president,8385,president,1105,election,12843,election,14598,president,2520,president,1819,election,1999,president,3725,president,8270,president,4847,amp,4598,president,4619,president,4087,president,3445,president,998,president,1593,president,1551,amp,506,president,2184,amp,1683,amp,287,president,3989,president,1890,election,1056,president,2126,election,1556,president,2440,president,456,president,927,election,813,election,524,president,1449,election,1106,president,402,election,760,president,330,president,252,president,122,president,233,president,605,president,104,president,329
amp,18949,amp,2331,amp,594,amp,4213,amp,3158,election,530,amp,4679,amp,1263,amp,2563,amp,6894,amp,975,amp,12433,amp,13353,amp,2191,amp,1448,president,1773,amp,3243,amp,7431,amp,4264,president,4157,amp,4097,amp,3432,amp,3136,amp,903,amp,1355,amp,1382,president,501,amp,1751,election,1661,president,282,amp,3471,amp,1625,amp,989,amp,1703,amp,1401,amp,2194,amp,351,amp,798,amp,696,president,475,amp,1265,amp,882,amp,369,amp,709,covid,260,amp,238,vote,86,amp,193,vote,436,amp,95,amp,248
vote,14885,vote,1900,vote,434,vote,3006,vote,2370,people,321,vote,3339,vote,982,people,1609,people,5502,vote,637,vote,8029,vote,9272,vote,1677,vote,1082,vote,1462,vote,2648,vote,5363,vote,2996,vote,3345,vote,3111,vote,2549,people,2303,vote,682,vote,974,vote,1019,people,294,vote,1228,vote,980,people,185,vote,2524,vote,1247,000,657,vote,1451,vote,963,vote,1655,people,301,vote,667,people,461,vote,351,vote,937,people,611,vote,275,people,466,amp,252,people,172,amp,85,people,132,amp,392,donald,66,vote,218
people,14051,people,1683,people,387,people,2542,people,2266,vote,297,people,3312,people,939,vote,1602,vote,5289,people,558,people,7304,people,8333,people,1506,people,1066,people,1025,people,2378,people,5103,people,2831,people,2618,people,2966,people,2417,vote,2279,people,589,people,906,people,974,vote,291,people,1216,people,905,vote,183,people,2343,people,1092,vote,639,people,1298,people,931,people,1545,vote,284,people,641,vote,458,people,325,people,870,vote,597,people,265,vote,455,people,214,vote,156,donald,67,vote,115,new,323,people,65,people,217
covid,10390,covid,1227,joe,321,joe,2063,covid,1701,joe,287,get,2522,new,748,joe,1227,new,4367,joe,478,joe,5979,joe,6431,get,1159,joe,735,get,965,covid,1782,new,4457,new,2242,donald,2266,get,2246,covid,1850,covid,1720,get,483,joe,748,get,804,get,253,joe,918,joe,839,covid,156,joe,1691,covid,886,realdonaldtrump,635,get,1020,covid,746,covid,1160,new,260,donald,462,donald,362,donald,262,covid,683,get,514,get,206,get,347,vote,189,covid,120,people,66,one,101,covid,320,get,64,donald,169
get,10178,get,1224,get,299,get,2033,new,1671,donald,254,covid,2512,donald,713,get,1225,covid,4135,get,477,donald,5714,covid,5871,covid,1146,donald,694,help,856,new,1708,covid,3879,covid,2194,covid,1963,covid,2212,new,1816,donald,1710,new,463,get,639,new,792,new,252,covid,918,get,705,one,153,get,1649,donald,861,joe,623,covid,989,get,720,new,1155,covid,238,covid,459,covid,344,get,249,get,671,covid,512,covid,199,joe,345,new,172,help,120,get,61,new,100,people,316,covid,62,one,154
