CA,CA_count,AZ,AZ_count,PA,PA_count,CT,CT_count,TN,TN_count,NY,NY_count,FL,FL_count,LA,LA_count,NV,NV_count,MA,MA_count,WA,WA_count,OH,OH_count,MI,MI_count,ID,ID_count,TX,TX_count,VA,VA_count,CO,CO_count,IN,IN_count,IL,IL_count,SC,SC_count,MT,MT_count,MN,MN_count,NH,NH_count,GA,GA_count,MO,MO_count,ME,ME_count,WI,WI_count,AL,AL_count,OR,OR_count,OK,OK_count,DC,DC_count,IA,IA_count,NJ,NJ_count,KS,KS_count,MD,MD_count,UT,UT_count,NE,NE_count,MS,MS_count,AR,AR_count,HI,HI_count,NC,NC_count,VT,VT_count,KY,KY_count,AK,AK_count,WY,WY_count,SD,SD_count,WV,WV_count,ND,ND_count,RI,RI_count,NM,NM_count,DE,DE_count
us,49653,us,10587,us,12466,trump,3533,us,6219,trump,18617,us,29877,us,3790,us,4466,trump,8511,trump,18331,us,10992,us,9811,us,1531,us,31654,us,9189,us,8237,us,4837,trump,10651,us,2396,us,1239,us,6054,us,674,us,8602,us,4155,us,2561,us,4782,us,3744,trump,8453,us,3351,trump,1049,us,2290,us,3588,us,3275,us,5726,us,2181,us,1790,us,1330,us,2509,trump,1691,us,5551,trump,748,us,3506,us,1010,us,570,trump,271,us,501,us,229,us,721,trump,1390,us,1191
trump,49388,trump,10227,trump,12194,us,3527,trump,5804,us,18563,trump,28508,trump,3499,trump,4212,us,8439,us,18067,trump,10683,trump,9770,trump,1327,trump,29687,trump,9094,trump,8073,trump,4601,us,10511,trump,2207,trump,1156,trump,5926,trump,665,trump,7992,trump,3917,trump,2417,trump,4635,trump,3438,us,8420,trump,3212,us,1020,trump,2211,trump,3479,trump,3108,trump,5531,trump,2157,trump,1787,trump,1245,trump,2428,us,1690,trump,5292,us,731,trump,3296,trump,966,trump,558,us,262,trump,475,trump,227,trump,692,us,1312,trump,1189
biden,13109,biden,3038,biden,3547,biden,969,biden,1784,biden,4982,biden,8986,biden,1117,biden,1144,biden,2226,election,5180,biden,3036,amp,2729,biden,472,biden,9697,biden,2735,biden,2206,biden,1362,biden,2966,biden,688,biden,313,biden,1695,election,193,biden,2428,biden,1145,biden,833,biden,1427,biden,1198,biden,2125,biden,1069,election,305,biden,614,biden,1097,biden,920,biden,1626,biden,583,biden,499,biden,400,biden,693,biden,432,biden,1549,election,198,biden,937,election,254,biden,171,biden,79,biden,144,election,61,biden,192,biden,361,biden,304
election,11897,election,2334,election,2975,election,859,election,1430,election,4802,election,6502,election,876,election,991,election,2215,biden,4856,election,2462,biden,2663,election,349,election,7200,election,2128,election,2043,election,1111,election,2700,election,627,election,271,election,1569,biden,182,election,2097,election,995,amp,530,election,1267,amp,863,election,1977,election,864,biden,245,election,538,election,860,election,780,election,1446,election,521,election,435,president,316,election,608,election,381,election,1413,biden,182,election,776,biden,249,election,127,election,71,election,125,biden,55,election,181,election,294,election,283
president,9856,president,2319,president,2553,president,727,president,1390,president,3863,president,6460,president,849,amp,989,president,1737,amp,3739,amp,2152,election,2389,amp,323,president,6832,president,1875,amp,1622,president,956,amp,2104,president,530,amp,233,amp,1156,amp,144,president,1810,president,843,president,525,president,1015,president,823,amp,1613,president,683,president,228,amp,463,president,724,president,669,amp,1135,president,435,president,390,amp,302,president,558,amp,372,president,1193,president,147,president,723,amp,223,president,126,president,57,amp,118,amp,44,vote,138,president,285,amp,246
amp,9602,amp,2126,amp,2423,amp,632,amp,1313,amp,3383,amp,6376,amp,757,vote,794,amp,1698,president,3739,president,2144,president,1962,president,309,amp,6816,amp,1794,president,1616,amp,912,president,2066,amp,462,president,218,president,1085,president,138,amp,1750,amp,822,election,523,amp,849,election,811,president,1515,amp,676,amp,178,president,442,amp,706,amp,657,president,1112,amp,429,amp,339,election,290,amp,444,president,358,amp,1129,amp,130,amp,719,president,198,amp,121,amp,46,president,108,people,42,president,137,vote,213,president,220
vote,8078,vote,1681,vote,1764,vote,546,vote,869,people,2891,vote,4227,vote,584,president,783,vote,1481,vote,2855,vote,1560,vote,1907,people,233,vote,5090,vote,1426,vote,1275,vote,677,vote,1761,vote,326,vote,153,vote,936,people,102,vote,1402,vote,617,people,321,vote,742,vote,530,vote,1298,vote,519,people,157,vote,367,vote,539,vote,516,vote,959,vote,361,vote,235,people,183,vote,330,people,250,vote,950,people,117,vote,531,vote,172,vote,81,vote,38,people,79,president,37,amp,118,amp,199,people,173
people,7451,people,1425,people,1742,people,513,people,821,vote,2814,people,3923,people,546,people,546,people,1228,people,2750,people,1551,people,1396,vote,225,people,4600,people,1292,people,1232,people,637,people,1573,people,285,people,148,people,838,vote,99,people,1282,people,598,vote,314,people,669,people,489,people,1290,people,503,vote,152,people,297,people,519,people,487,people,802,people,330,people,231,vote,176,people,306,vote,233,people,822,vote,113,people,491,people,150,people,79,get,36,vote,68,vote,34,people,103,people,167,vote,164
get,5121,get,1024,get,1215,one,337,get,637,covid,1941,joe,2755,like,346,covid,489,covid,863,new,1917,get,1084,donald,1226,joe,162,joe,3056,covid,877,get,796,get,463,get,1185,joe,227,get,131,get,605,covid,81,get,810,get,406,realdonaldtrump,307,get,507,joe,355,get,833,joe,349,new,115,get,245,get,381,get,371,get,564,one,211,like,183,donald,132,get,264,get,178,get,576,like,86,get,357,get,106,covid,59,donald,34,new,58,donald,27,like,93,covid,142,get,124
covid,4892,like,949,donald,1102,new,336,like,546,new,1904,like,2699,joe,331,get,463,get,851,covid,1871,covid,1003,make,1023,get,151,get,2875,get,857,covid,776,like,453,covid,1075,new,211,covid,119,covid,596,one,77,covid,759,covid,397,joe,290,joe,483,get,338,covid,796,get,329,covid,106,like,207,joe,359,donald,297,covid,541,get,207,get,179,joe,128,one,253,donald,163,covid,525,get,80,covid,330,covid,98,joe,59,help,33,good,51,covid,27,one,80,get,139,like,122
new,4361,country,947,one,1093,get,314,covid,538,get,1754,covid,2675,one,317,like,418,good,805,get,1858,like,981,covid,958,knew,148,like,2838,new,853,like,775,joe,425,country,944,covid,211,like,109,one,567,get,72,joe,758,one,383,covid,241,one,474,new,320,like,789,covid,326,get,105,donald,204,new,356,new,289,new,518,covid,205,covid,150,country,117,covid,242,covid,156,like,502,covid,76,one,315,donald,92,like,52,people,32,like,49,realdonaldtrump,25,get,77,donald,135,covid,116
like,4287,joe,946,covid,1079,covid,313,joe,531,one,1751,get,2669,get,316,time,361,like,774,one,1557,donald,957,even,942,covid,141,covid,2789,like,843,donald,740,good,404,new,944,get,208,one,106,donald,528,new,71,like,722,new,382,new,219,covid,450,covid,306,donald,768,like,304,said,97,covid,202,covid,344,country,281,one,511,donald,189,one,149,new,115,joe,231,like,145,one,481,one,69,like,313,like,89,country,52,new,30,one,48,win,23,donald,66,one,125,donald,113
donald,4240,covid,931,like,1069,like,310,one,508,like,1649,donald,2503,good,316,good,348,one,759,like,1505,new,939,get,938,country,136,good,2647,joe,807,one,703,new,392,like,941,knew,207,country,105,like,508,like,66,donald,720,donald,360,get,211,donald,412,like,300,one,695,new,277,country,84,new,199,like,337,joe,281,country,500,joe,186,donald,146,like,114,donald,217,good,137,joe,476,new,69,new,302,good,89,get,51,country,27,covid,48,like,23,joe,59,new,123,one,105
country,4232,new,900,country,1056,donald,304,country,495,donald,1633,country,2487,covid,313,one,347,country,707,country,1494,one,929,thousands,878,china,126,country,2535,donald,772,good,676,country,389,one,924,one,205,new,104,joe,501,help,65,one,718,joe,351,donald,198,like,412,country,299,country,673,donald,263,one,84,one,198,country,306,covid,280,joe,492,country,182,country,145,knew,114,new,215,new,135,new,464,country,67,joe,297,new,88,one,50,like,24,america,46,get,23,america,57,like,122,joe,98
